roll,pitch,yaw,x,y,z
-1.63051,0.0611395,-1.59298,-0.297483,0.0517973,0.0114176
-1.6278,-0.00450701,-1.58652,-0.268334,0.0410881,-0.0147066
-1.62428,-0.0101429,-1.59396,-0.283407,0.0757952,-0.0291985
-1.59445,-0.0119441,-1.5941,-0.288948,0.0781666,-0.1715
-1.59135,-0.00750223,-1.56822,-0.279051,-0.0524888,-0.188304
-1.62167,-0.00100564,-1.60375,-0.261219,0.123732,-0.0454537
-1.63392,0.0233868,-1.59156,-0.272642,0.0519096,0.0103903
-1.6139,0.00291813,-1.61137,-0.276059,0.153278,-0.079919
-1.63029,0.0616415,-1.60749,-0.284974,0.128512,-0.0183646
-1.64471,-0.0241914,-1.57708,-0.237848,0.00681414,0.067615
-1.63494,-0.021449,-1.59365,-0.253559,0.0828513,0.0213173
-1.60409,-0.0173356,-1.61499,-0.282171,0.181494,-0.12421
-1.62679,0.000234497,-1.58531,-0.247453,0.0356554,-0.0221198
-1.63754,-0.022902,-1.57268,-0.247549,-0.0220631,0.0293962
-1.65515,-0.0132032,-1.57316,-0.268273,-0.0171211,0.123463
-1.6504,-0.0328102,-1.57705,-0.251163,0.00599757,0.0912069
-1.61894,0.0558889,-1.58905,-0.316305,0.0384724,-0.0461345
-1.65369,-0.0328778,-1.57466,-0.248479,0.00224345,0.120206
-1.61093,0.0696174,-1.59616,-0.297436,0.0811344,-0.118044
-1.59968,-0.0081514,-1.59069,-0.29821,0.059054,-0.145152
-1.64136,-0.00748181,-1.58871,-0.237831,0.0600597,0.0520579
-1.65681,-0.0291899,-1.58085,-0.288737,0.0286515,0.137332
-1.61953,-0.0160268,-1.59126,-0.265402,0.0627679,-0.0549481
-1.60543,-0.0060519,-1.59515,-0.293269,0.0846479,-0.118577
-1.66675,-0.0393313,-1.57975,-0.277985,0.0254062,0.170483
-1.65964,-0.00525193,-1.58379,-0.258345,0.0341754,0.142161
-1.66048,-0.0271293,-1.57349,-0.269879,-0.0116241,0.139099
-1.63504,-0.037752,-1.58044,-0.250348,0.0303476,0.0307187
-1.5926,-0.00615336,-1.56871,-0.304482,-0.0468725,-0.179891
-1.61867,-0.00198009,-1.6032,-0.332159,0.121262,-0.0527651
-1.64159,-0.0432284,-1.58086,-0.282692,0.0291414,0.0545616
-1.6029,-0.0141544,-1.60024,-0.31476,0.112695,-0.126611
-1.6528,-0.0181721,-1.56228,-0.229897,-0.0687795,0.0980105
-1.62769,-0.0195538,-1.60962,-0.246858,0.156437,-0.0137637
-1.6382,-0.0114067,-1.60933,-0.253739,0.148885,0.0298372
-1.67452,-0.0391465,-1.55954,-0.25893,-0.0804429,0.205583
-1.66806,-0.0267077,-1.57346,-0.269398,-0.0103454,0.176203
-1.61063,-0.00589171,-1.58209,-0.278534,0.0230213,-0.0942569
-1.63877,-0.021076,-1.60234,-0.240517,0.117556,0.0298748
-1.63319,-0.0166339,-1.61242,-0.250762,0.163429,0.00871927
-1.62683,-0.0211839,-1.59517,-0.282254,0.0871738,-0.0154653
-1.66066,-0.00490052,-1.57669,-0.261336,-0.00542908,0.14299
-1.65252,-0.0143651,-1.56458,-0.273575,-0.0619678,0.106493
-1.7889,-0.320613,-1.50476,-0.181596,-0.0011105,0.630787
-1.663,-0.00686204,-1.58779,-0.238038,0.047884,0.148774
-1.66309,-0.00489776,-1.58046,-0.258262,0.0148327,0.162633
-1.66397,-0.00595353,-1.58463,-0.251595,0.0324368,0.148595
2.2475,0.106469,-1.98108,8.21645,-1.92494,2.80632
-1.65131,-0.0141708,-1.5717,-0.276041,-0.0232404,0.10709
-1.63453,-0.00308027,-1.57881,-0.289354,0.00368334,0.0244555
